postcode,lat,lon
SA66 7TU,51.876773,-4.73183
PA20 9DY,55.842204,-5.042777
SM2 5RS,51.34957,-0.188476
AB52 6JR,57.342899,-2.618382
PO38 2JQ,50.612128,-1.319654
SA16 0AQ,51.688009,-4.275119
PE30 1LY,52.757146,0.395902
L23 7TF,53.4899,-3.03182
SE26 5EW,51.427544,-0.040292
PH23 3AD,57.281287,-3.811486
CV37 8RG,52.135831,-1.776942
GL18 1DU,51.932169,-2.408716
BD22 9NP,53.805503,-1.940394
B90 3BZ,52.404744,-1.81588
PE19 5RB,52.279766,-0.211869
DE45 1TB,53.24319,-1.70073
TN11 9LN,51.227849,0.243576
PO33 4EX,50.73053,-1.214326
KY16 9SH,56.353765,-2.870805
LE1 1WB,52.636431,-1.127621
YO21 3JY,54.49045,-0.630397
CM9 6ES,51.728841,0.66858
CB24 3EP,52.281391,0.044765
HA4 9JF,51.570599,-0.395546
HA4 6QZ,51.550135,-0.40231
GL17 9QF,51.828245,-2.579481
PO18 8JP,50.833098,-0.859455
KY2 6GE,56.138837,-3.19684
LS22 4HZ,53.916627,-1.440974
YO22 4EY,54.484452,-0.608801
EH32 0UE,56.006127,-2.861376
RH6 7AH,51.174077,-0.166809
DE11 0HQ,52.781911,-1.549905
BN1 3JH,50.830352,-0.148611
BD7 1RG,53.788306,-1.767993
TW19 5AN,51.443997,-0.542153
LA8 8PP,54.264096,-2.792041
SW10 0AU,51.485265,-0.178888
DD5 2QH,56.473077,-2.855464
OX15 4FL,52.014934,-1.376242
GU17 9DE,51.329508,-0.784116
KA27 8HL,55.703827,-5.291897
HS2 0HT,58.246299,-6.33028
LS14 5FD,53.822205,-1.444098
YO31 8JH,53.970904,-1.07393
MK43 8BB,52.161394,-0.607355
M33 5DX,53.422374,-2.347186
CA10 1UT,54.627403,-2.564607
GU9 0ER,51.237685,-0.797769
TA24 8EH,51.201246,-3.497317
BS31 1FG,51.405243,-2.504074
W13 0TF,51.511878,-0.32149
M3 5LB,53.483168,-2.260038
RH10 4JB,51.121395,-0.080255
AB30 1GH,56.831941,-2.477922
TA6 7AQ,51.132175,-3.014645
OX25 3QZ,51.865323,-1.227449
PR2 6UY,53.783476,-2.666627
NW3 5QU,51.549603,-0.172421
S63 6BG,53.50661,-1.374742
ML4 2PF,55.815838,-4.008171
EX8 3DT,50.626644,-3.408929
NE1 5UG,54.971774,-1.618451
CB10 2NP,52.020423,0.263462
CM6 3HD,51.856966,0.424527
WF12 7LE,53.694079,-1.612841
YO14 0LP,54.176952,-0.318326
WA12 8HL,53.449573,-2.630155
TQ12 5JT,50.501204,-3.584403
IP31 3QW,52.248937,0.812175
BN22 8NW,50.777113,0.297639
PO37 6SD,50.622297,-1.179927
NE41 8BE,54.983133,-1.828243
KA5 6LB,55.509072,-4.347149
BN6 9BU,50.910108,-0.194737
SY8 2LB,52.380369,-2.801734
NR31 9PH,52.567305,1.661109
CV31 3QD,52.282698,-1.549641
OX13 6NT,51.666972,-1.341903
NN14 1GW,52.376315,-0.816218
CA17 4LP,54.388436,-2.429843
YO13 9EZ,54.255074,-0.473203
KA14 3BG,55.738718,-4.661359
NE25 8TE,55.038636,-1.466662
AL7 4JP,51.786323,-0.19638
CV36 4QR,52.061476,-1.623603
EH6 6BU,55.972422,-3.174278
L1 8AE,53.398956,-2.986302
CF3 0DD,51.526761,-3.103044
W3 9SW,51.510291,-0.284556
SG4 8BB,51.874409,-0.284026
PA13 4LH,55.890886,-4.63321
AB12 3SJ,57.094034,-2.099757
WD4 9PW,51.716748,-0.461559
LS16 6FT,53.845735,-1.613562
S6 2XL,53.395669,-1.498059
SK6 2JX,53.418613,-2.110115
YO15 3NJ,54.075206,-0.204885
SE3 8PU,51.469795,0.034476
YO14 0BA,54.205778,-0.294002
SW9 9PD,51.464898,-0.123706
PE30 1LY,52.757146,0.395902
YO25 9SH,53.912938,-0.485294
DN9 2DR,53.486333,-0.864413
WR10 3DD,52.077061,-2.114655
TW3 1PN,51.472651,-0.350461
IV32 7QF,57.548392,-3.163898
M33 5DX,53.422374,-2.347186
FK9 4BB,56.151434,-3.945799
SO19 9AU,50.888218,-1.355136
SK14 3BH,53.451027,-2.055901
EX17 6AB,50.849671,-3.801412
GL1 3HH,51.868749,-2.233171
LA2 9LA,54.092296,-2.666066
KW1 4XP,58.561594,-3.09496
CF32 7SN,51.616763,-3.536147
DD8 3LZ,56.647936,-2.904023
N15 5JH,51.582488,-0.084441
YO15 2JW,54.09068,-0.184186
NW11 7EL,51.58015,-0.197165
BR3 4AX,51.393971,-0.042805
AB42 2AZ,57.50656,-1.806767
PR6 8SJ,53.694192,-2.565712
LE4 2SB,52.68515,-1.151401
NG34 9AN,53.045111,-0.395334
CV13 6NZ,52.656397,-1.447888
BR1 3JD,51.410343,0.023596
GL15 6DN,51.710184,-2.554929
SW3 4EP,51.488745,-0.163419
RG27 9AE,51.278223,-0.984945
HU9 3RR,53.75741,-0.290762
PR25 3ER,53.691404,-2.686505
CA22 2HF,54.481339,-3.538527
RH8 9JP,51.250566,-0.016873
WS13 8AF,52.679197,-1.841649
WS15 4DQ,52.736609,-1.867449
TF6 6LJ,52.738288,-2.573619
DL14 8DR,54.696321,-1.684139
DN33 3AZ,53.535756,-0.103523
GU10 2ET,51.155155,-0.75583
KT20 6JA,51.292459,-0.198484
KY16 8PP,56.317422,-2.704022
EX4 6JL,50.733263,-3.521651
RG2 9PY,51.394973,-0.907736
WS15 1LD,52.746999,-1.944153
RG9 4AF,51.516208,-0.909364
BN21 2AS,50.773307,0.281254
IV30 8LR,57.658801,-3.177101
WF12 9DN,53.67438,-1.630823
HP27 0PE,51.698679,-0.821175
DG2 8DQ,54.962158,-3.588058
DN22 7LG,53.329081,-0.947331
SK11 7BL,53.257872,-2.116536
DH6 5EQ,54.741215,-1.523603
SS4 2DA,51.601597,0.747864
CA27 0EF,54.495793,-3.594566
NE2 4PA,54.98463,-1.629048
BS2 8LS,51.462034,-2.594276
LS16 6BS,53.850074,-1.603865
E7 0EG,51.552759,0.024775
ML11 0SA,55.549867,-3.852239
SO20 8DB,51.092286,-1.564307
G63 0PZ,56.068832,-4.329065
IV12 5QJ,57.535368,-3.803445
PO20 7NB,50.769382,-0.778556
S6 2PL,53.39921,-1.502424
G84 9DY,56.008582,-4.714937
DE21 7ET,52.926852,-1.396585
ST3 6RQ,52.992063,-2.091386
IP28 6RU,52.264568,0.637648
LS19 6NG,53.857274,-1.676043
CO7 8HL,51.841874,1.0364
W11 3QT,51.50881,-0.200671
YO62 7HX,54.30004,-0.955343
LS18 4HS,53.832863,-1.626727
LA4 4RE,54.064359,-2.846616
CF5 6LS,51.475959,-3.3187
IP6 9UN,52.165644,1.1042
G41 4QA,55.840135,-4.28393
LS12 3QN,53.801359,-1.604494
